Coder_ID,Pair_type,Word_ID,Pair_ID,Word,POS,Note,I_Feel,They_Feel,They_Feel_Q1,They_Feel_Q2,It_Feels,It_Feels_Q1,It_Feels_Q2,Bodily_Physical,Epistemic,Behavioral_Result,Additional_Meaning,Add_Row,Distinctiveness,Relatedness,I_Am,I_Am_Q1,I_Am_Q2,Meaning_label
1,noun-adj,116,48,admiring,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,yes,no,1
1,noun-adj,117,49,adoration,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,118,49,adoring,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,yes,no,1
1,noun-adj,119,49,adorable,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,120,50,agitation,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,121,50,agitated,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,no,yes,1
1,noun-adj,121,50,agitated,adjective,"physically, as in water",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,yes,unacceptable,no,no,2
1,noun-adj,122,50,agitating,adjective,,unacceptable,acceptable,no,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,123,51,agreeableness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,124,51,agreeable,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,125,52,alarm,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,126,52,alarmed,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,127,52,alarming,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,128,53,flattery,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,129,53,flattered,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,130,53,flattering,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,134,55,alertness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,135,55,alert,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,yes,no,,,,acceptable,no,yes,1
1,noun-adj,136,56,amazement,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,137,56,amazed,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,138,56,amazing,adjective,"synonym for ""great""; might be a different meaning than ""causing amazement""",acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,139,57,amusement,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,140,57,amused,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,141,57,amusing,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,142,58,anger,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,143,58,angry,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,144,59,annoyance,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,145,59,annoyed,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,146,59,annoying,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,147,60,antipathy,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,148,60,antipathic,adjective,not familiar,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,149,61,anxiety,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,150,61,anxious,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,151,62,apathy,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,152,62,apathetic,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,153,63,apology,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,154,63,apologetic,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,yes,no,,,,acceptable,yes,no,1
1,noun-adj,155,64,appreciation,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,156,64,appreciated,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,157,64,appreciating,adjective,"needs prep. phrase ""of [object]"": I am appreciating of [noun]
another possible variant: appreciative?",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,158,65,apprehension,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,159,65,apprehensive,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,160,66,approval,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,161,66,approving,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,yes,no,1
1,noun-adj,504,101,clue,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,505,101,clueless,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,yes,no,no,,,,acceptable,yes,no,1
1,noun-adj,506,103,cold,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,507,103,cold,adjective,as in unfriendly,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,unsure,acceptable,yes,no,1
1,noun-adj,507,103,cold,adjective,as in temperature,acceptable,acceptable,yes,yes,acceptable,no,yes,yes,no,no,yes,,yes,unsure,acceptable,yes,yes,2
1,noun-adj,508,104,cold-blood,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,509,104,cold-blooded,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,unsure,acceptable,no,yes,1
1,noun-adj,509,104,cold-blooded,adjective,having a body temperature varying with that of the environment,unacceptable,unacceptable,no,no,unacceptable,no,no,yes,no,no,yes,,yes,unsure,acceptable,no,yes,2
1,noun-adj,510,107,commiserate,noun,not a noun that i can find in the dictionary?,,,,,,,,,,,,,,,,,,
1,noun-adj,511,107,commiserating,adjective,"not familiar enough to determine
cannot evaluate as noun-adj pair because commiserate is not a noun",unacceptable,unacceptable,no,no,not sure,unsure,unsure,no,no,no,no,,,,unacceptable,unsure,unsure,1
1,noun-adj,512,109,complain,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,513,109,complaining,adjective,not familiar as an adjective,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,yes,no,,,,unacceptable,no,no,1
1,noun-adj,514,114,confidence,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,515,114,confident,adjective,,,,,,,,,,,,,,,,acceptable,no,yes,1
1,noun-adj,516,114,self-confident,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,517,115,conflict,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,518,115,conflicted,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,519,115,conflicting,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,523,120,consideration,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,524,120,considerate,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,525,121,contempt,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,526,121,contemptable,adjective,not familiar,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,527,123,contrition,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,528,123,contrite,adjective,"not familiar enough to determine (Crushed or broken in spirit by a sense of sin, and so brought to complete penitence.)",unacceptable,unacceptable,no,no,not sure,unsure,unsure,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,529,127,cooperation,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,530,127,cooperative,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,yes,no,,,,acceptable,yes,no,1
1,noun-adj,531,132,crank,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,532,132,cranky,adjective,"I feel that cranky is not related to the noun ""crank""",acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,yes,no,,,,acceptable,unsure,unsure,1
1,noun-adj,533,133,creep,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,534,133,creepy,adjective,"has to be a specific scenario, i.e. ""I feel creepy when I stalk people on Instagram but it's fun""",acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,535,135,criticalness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,536,135,critical,adjective,"acceptable in certain contexts, e.g. ""I feel critical to... [the completion of this project]"", meaning important",acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,yes,,yes,no,acceptable,yes,no,1
1,noun-adj,536,135,critical,adjective,prone to criticizing (someone or something),unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,no,acceptable,yes,no,2
1,noun-adj,537,141,daydream,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,538,141,daydreaming,adjective,not familiar with adjective sense,unacceptable,unacceptable,no,no,unacceptable,no,yes,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,539,144,degradation,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,540,144,degrading,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,541,145,dejection,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,542,145,dejected,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,543,153,despicableness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,544,153,despicable,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,545,154,detachment,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,546,154,detached,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,yes,no,yes,,yes,yes,acceptable,no,yes,1
1,noun-adj,546,154,detached,adjective,physically,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,yes,unacceptable,no,no,2
1,noun-adj,547,158,devotion,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,548,158,devoted,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,549,159,difficulty,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,550,159,difficult,adjective,hard to get along with,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,yes,no,1
1,noun-adj,550,159,difficult,adjective,"as in a problem or task; don't know if they are really two separate meanings 
similar to easy in that ""it"" should be an action for ""it feels difficult"" to be more acceptable",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,yes,unacceptable,no,no,2
1,noun-adj,551,160,dignity,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,552,160,dignified,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,553,163,disagreement,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,554,163,disagreeable,adjective,more of a personality/permanent trait,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,yes,no,,,,acceptable,yes,no,1
1,noun-adj,555,164,disappointment,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,556,164,disappointed,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,557,164,disappointing,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,558,168,discontent,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,559,168,discontented,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,560,173,disheartenment,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,561,173,disheartened,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,no_pair,563,175,dismal,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,564,180,dissatisfaction,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,565,180,dissatisfied,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,566,180,dissatisfatory,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,567,183,distress,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,568,183,distressed,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,no,yes,1
1,noun-adj,568,183,distressed,adjective,as in jeans/clothing,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,yes,unacceptable,no,no,2
1,noun-adj,569,183,distressful,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,570,184,distrust,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,571,184,distrustful,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,572,188,domination,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,573,188,dominated,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,574,193,dreariness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,575,193,dreary,adjective,,acceptable,acceptable,yes,yes,acceptable,yes,yes,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,576,194,dullness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,577,194,dull,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,yes,yes,1
1,noun-adj,577,194,dull,adjective,"dull as in a pencil or knife
relatedness: something that is dull is less capable/useful as usual",unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,yes,,yes,yes,unacceptable,no,no,2
1,noun-adj,578,200,ease,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,579,200,easy,adjective,"""it feels easy"" is ok if ""it"" is an action e.g. bike riding feels easy to me",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,580,200,easy-going,adjective,"more of a personality/permanent trait rather than something ""felt""",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,yes,no,,,,acceptable,yes,no,1
1,noun-adj,581,204,elegance,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,582,204,elegant,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,583,208,emptiness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,584,208,empty,adjective,figurative,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,no,yes,1
1,noun-adj,584,208,empty,adjective,not containing anything (describing a vessel),unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,yes,,yes,yes,unacceptable,no,no,2
1,noun-adj,585,209,encouragement,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,586,209,encouraged,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,587,213,enragement,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,589,213,enraged,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,590,215,enthusiasm,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,591,215,enthusiastic,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,592,218,evil,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,593,218,evil,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,594,220,exhilaration,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,595,220,exhilarated,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,596,222,exultation,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,597,222,exultant,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,598,223,familiarity,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,599,223,familiar,adjective,,unacceptable,acceptable,no,yes,acceptable,no,yes,no,yes,no,no,,,,acceptable,yes,no,1
1,noun-adj,600,223,unfamiliar,adjective,,unacceptable,acceptable,no,no,acceptable,no,yes,no,yes,no,no,,,,acceptable,yes,no,1
1,noun-adj,601,248,freedom,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,602,248,free,adjective,metaphorical meaning,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,no,yes,1
1,noun-adj,602,248,free,adjective,"costing nothing
*this meaning is not related to freedom",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,yes,unacceptable,no,no,2
1,noun-adj,602,248,free,adjective,"physically unrestrained; would just say ""I am free""",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,no,yes,3
1,noun-adj,603,256,fun,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,10000,256,fun,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,,,,1
1,noun-adj,604,256,funny,adjective,as in amusing,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,yes,,yes,unsure,acceptable,yes,yes,1
1,noun-adj,604,256,funny,adjective,"as in weird
*this meaning is not related to fun",acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,yes,,yes,unsure,acceptable,no,no,2
1,noun-adj,605,260,gentleness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,606,260,gentle,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,yes,no,,,,acceptable,yes,no,1
1,noun-adj,607,262,giddiness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,608,262,giddy,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,609,264,gloom,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,610,264,gloomy,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,611,273,grip,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,612,273,gripping,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,613,277,hackney,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,614,277,hackneyed,adjective,not familiar,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,615,278,happiness,noun,,,,,,,,,,,,,,,,,,,
